model_size_quantile,model_size_threshold,runtime_quantile,runtime_threshold,optimal_val,feasible_ratio,top_10%_overlap,top_1%_overlap
0.001,6385.0,0.001,78.95791625976562,0.0018314688932150602,0.0005184220679012346,1.6075102880658438e-05,0.0
0.001,6385.0,0.005,83.51493835449219,0.0018314688932150602,0.002222382973251029,1.6075102880658438e-05,0.0
0.001,6385.0,0.01,85.18976593017578,0.0018314688932150602,0.0038499871399176955,1.6075102880658438e-05,0.0
0.001,6385.0,0.05,98.36429595947266,0.0018314688932150602,0.005606192129629629,1.6075102880658438e-05,0.0
0.001,6385.0,0.1,119.48997497558594,0.0018152958946302533,0.00688818158436214,2.4112654320987653e-05,0.0
0.001,6385.0,0.25,195.135986328125,0.0017364837694913149,0.013141396604938271,4.42065329218107e-05,0.0
0.001,6385.0,0.5,368.7737121582031,0.0017364837694913149,0.020182291666666668,5.626286008230453e-05,0.0
0.001,6385.0,0.75,669.48583984375,0.001577775925397873,0.026451581790123458,0.00010448816872427983,0.0
0.001,6385.0,0.9,1119.27392578125,0.001577775925397873,0.027777777777777776,0.00010850694444444444,0.0
0.001,6385.0,0.95,1588.6129150390625,0.001577775925397873,0.027777777777777776,0.00010850694444444444,0.0
0.001,6385.0,1.0,4633.1826171875,0.001577775925397873,0.027777777777777776,0.00010850694444444444,0.0
0.005,6385.0,0.001,78.95791625976562,0.0018314688932150602,0.0005184220679012346,1.6075102880658438e-05,0.0
0.005,6385.0,0.005,83.51493835449219,0.0018314688932150602,0.002222382973251029,1.6075102880658438e-05,0.0
0.005,6385.0,0.01,85.18976593017578,0.0018314688932150602,0.0038499871399176955,1.6075102880658438e-05,0.0
0.005,6385.0,0.05,98.36429595947266,0.0018314688932150602,0.005606192129629629,1.6075102880658438e-05,0.0
0.005,6385.0,0.1,119.48997497558594,0.0018152958946302533,0.00688818158436214,2.4112654320987653e-05,0.0
0.005,6385.0,0.25,195.135986328125,0.0017364837694913149,0.013141396604938271,4.42065329218107e-05,0.0
0.005,6385.0,0.5,368.7737121582031,0.0017364837694913149,0.020182291666666668,5.626286008230453e-05,0.0
0.005,6385.0,0.75,669.48583984375,0.001577775925397873,0.026451581790123458,0.00010448816872427983,0.0
0.005,6385.0,0.9,1119.27392578125,0.001577775925397873,0.027777777777777776,0.00010850694444444444,0.0
0.005,6385.0,0.95,1588.6129150390625,0.001577775925397873,0.027777777777777776,0.00010850694444444444,0.0
0.005,6385.0,1.0,4633.1826171875,0.001577775925397873,0.027777777777777776,0.00010850694444444444,0.0
0.01,6385.0,0.001,78.95791625976562,0.0018314688932150602,0.0005184220679012346,1.6075102880658438e-05,0.0
0.01,6385.0,0.005,83.51493835449219,0.0018314688932150602,0.002222382973251029,1.6075102880658438e-05,0.0
0.01,6385.0,0.01,85.18976593017578,0.0018314688932150602,0.0038499871399176955,1.6075102880658438e-05,0.0
0.01,6385.0,0.05,98.36429595947266,0.0018314688932150602,0.005606192129629629,1.6075102880658438e-05,0.0
0.01,6385.0,0.1,119.48997497558594,0.0018152958946302533,0.00688818158436214,2.4112654320987653e-05,0.0
0.01,6385.0,0.25,195.135986328125,0.0017364837694913149,0.013141396604938271,4.42065329218107e-05,0.0
0.01,6385.0,0.5,368.7737121582031,0.0017364837694913149,0.020182291666666668,5.626286008230453e-05,0.0
0.01,6385.0,0.75,669.48583984375,0.001577775925397873,0.026451581790123458,0.00010448816872427983,0.0
0.01,6385.0,0.9,1119.27392578125,0.001577775925397873,0.027777777777777776,0.00010850694444444444,0.0
0.01,6385.0,0.95,1588.6129150390625,0.001577775925397873,0.027777777777777776,0.00010850694444444444,0.0
0.01,6385.0,1.0,4633.1826171875,0.001577775925397873,0.027777777777777776,0.00010850694444444444,0.0
0.05,6673.0,0.001,78.95791625976562,0.0015683537349104881,0.0009243184156378601,5.224408436213992e-05,0.0
0.05,6673.0,0.005,83.51493835449219,0.0015683537349104881,0.00328735853909465,6.831918724279835e-05,0.0
0.05,6673.0,0.01,85.18976593017578,0.0015683537349104881,0.006655092592592593,6.831918724279835e-05,0.0
0.05,6673.0,0.05,98.36429595947266,0.0015683537349104881,0.01157005529835391,7.635673868312758e-05,0.0
0.05,6673.0,0.1,119.48997497558594,0.0015683537349104881,0.013792438271604939,8.84130658436214e-05,0.0
0.05,6673.0,0.25,195.135986328125,0.0015683537349104881,0.02657616383744856,0.00016878858024691357,0.0
0.05,6673.0,0.5,368.7737121582031,0.0015542167238891125,0.04064187885802469,0.00023710776748971194,0.0
0.05,6673.0,0.75,669.48583984375,0.0014880300732329488,0.05324877829218107,0.00034963348765432097,0.0
0.05,6673.0,0.9,1119.27392578125,0.0014880300732329488,0.05555555555555555,0.0003576710390946502,0.0
