model_size_quantile,model_size_threshold,runtime_quantile,runtime_threshold,optimal_val,feasible_ratio,top_10%_overlap,top_1%_overlap
0.001,545.0,0.001,15.720161437988281,0.00041592479101382196,0.00042599022633744857,0.00014065715020576133,0.0
0.001,545.0,0.005,16.428180694580078,0.00041592479101382196,0.0006831918724279836,0.00023308899176954732,0.0
0.001,545.0,0.01,17.03706932067871,0.00041592479101382196,0.0022464956275720163,0.00024916409465020577,0.0
0.001,545.0,0.05,18.32756233215332,0.00041592479101382196,0.006510416666666667,0.000257201646090535,0.0
0.001,545.0,0.1,20.364660263061523,0.00041592479101382196,0.006920331790123457,0.0002612204218106996,0.0
0.001,545.0,0.25,33.922454833984375,0.00016937116743065417,0.013101208847736625,0.0005947788065843621,0.0
0.001,545.0,0.5,65.13639831542969,0.0001407518284395337,0.01864310056584362,0.0009805812757201647,0.0
0.001,545.0,0.75,126.42729949951172,0.00013890287664253265,0.02432564943415638,0.0013784400720164608,0.0
0.001,545.0,0.9,150.364501953125,0.00013890287664253265,0.027757683899176953,0.0013904963991769547,0.0
0.001,545.0,0.95,188.8496551513672,0.00013890287664253265,0.027777777777777776,0.0014025527263374486,0.0
0.001,545.0,1.0,1154.7017822265625,0.00013890287664253265,0.027777777777777776,0.0014025527263374486,0.0
0.005,545.0,0.001,15.720161437988281,0.00041592479101382196,0.00042599022633744857,0.00014065715020576133,0.0
0.005,545.0,0.005,16.428180694580078,0.00041592479101382196,0.0006831918724279836,0.00023308899176954732,0.0
0.005,545.0,0.01,17.03706932067871,0.00041592479101382196,0.0022464956275720163,0.00024916409465020577,0.0
0.005,545.0,0.05,18.32756233215332,0.00041592479101382196,0.006510416666666667,0.000257201646090535,0.0
0.005,545.0,0.1,20.364660263061523,0.00041592479101382196,0.006920331790123457,0.0002612204218106996,0.0
0.005,545.0,0.25,33.922454833984375,0.00016937116743065417,0.013101208847736625,0.0005947788065843621,0.0
0.005,545.0,0.5,65.13639831542969,0.0001407518284395337,0.01864310056584362,0.0009805812757201647,0.0
